"POINT (121.471302 31.2919406)",1,3
"POINT (121.4299381 31.3530212)",1,4
"POINT (121.4349957 31.3587166)",1,5
"POINT (121.6430787 31.1651437)",1,6
"POINT (121.6671299 31.1611278)",1,7
"POINT (121.758739 31.1713968)",1,8
"POINT (121.7856554 30.9939337)",1,0
"POINT (121.8608814 30.8996886)",1,1
"POINT (122.0339294 30.6554855)",1,2
"POINT (122.0502947 30.6439467)",1,3
"POINT (122.0243603 30.6587771)",1,4
"POINT (121.9032082 30.8633603)",1,5
"POINT (121.7778608 30.9322219)",1,6
"POINT (121.468964 31.1979002)",1,7
"POINT (121.4723543 31.1985879)",1,8
"POINT (121.4726312 31.1984487)",1,0
"POINT (121.4734482 31.1750759)",1,1
"POINT (121.5261349 31.1395927)",1,2
"POINT (121.5855522 31.1488227)",1,3
"POINT (121.7978695 30.9189933)",1,4
"POINT (121.6916204 30.9195651)",1,5
"POINT (121.5279525 30.913186)",1,6
"POINT (121.4861645 30.9087778)",1,7
"POINT (121.4278348 31.0276181)",1,8
"POINT (121.4112311 31.0639909)",1,0
"POINT (121.402125 31.0839079)",1,1
"POINT (121.3951025 31.101409)",1,2
"POINT (121.4348611 31.1800147)",1,3
"POINT (121.4150532 31.1500956)",1,4
"POINT (121.4614979 31.194519)",1,5
"POINT (121.4656416 31.2118504)",1,6
"POINT (121.5706321 31.2418423)",1,7
"POINT (121.4409275 31.2229358)",1,8
"POINT (121.4693806 31.226203)",1,0
"POINT (121.5826635 31.2149331)",1,1
"POINT (121.5828916 31.2479577)",1,2
"POINT (121.5805194 31.3060292)",1,3
"POINT (121.5945382 31.2558959)",1,4
"POINT (121.5946434 31.2557811)",1,5
"POINT (120.2620528 30.31307)",1,6
"POINT (120.2618188 30.3159685)",1,7
"POINT (120.2551481 30.3145748)",1,8
"POINT (122.0618985 30.6407365)",1,0
"POINT (121.8902625 30.8746365)",1,1
"POINT (121.8813095 30.8824474)",1,2
"POINT (121.8705473 30.8917895)",1,3
"POINT (121.8094036 30.9172123)",1,4
"POINT (121.8012619 30.9185601)",1,5
"POINT (121.776133 30.943313)",1,6
"POINT (121.8011197 30.9181366)",1,7
"POINT (121.8563686 30.9028237)",1,8
"POINT (121.8811893 30.8823469)",1,0
"POINT (121.4419505 31.3220207)",1,1
"POINT (121.432436 31.342711)",1,2
"POINT (121.5336943 31.2244598)",1,3
"POINT (121.5060056 31.2403238)",1,4
"POINT (121.5302301 31.2444068)",1,5
"POINT (121.5447255 31.2503492)",1,6
"POINT (121.5459914 31.2513512)",1,7
"POINT (121.5674645 31.2691727)",1,8
"POINT (121.506056 31.2398428)",1,0
"POINT (121.6396124 31.2139369)",1,1
"POINT (121.7203871 31.1796965)",1,2
"POINT (121.7345086 31.1847177)",1,3
"POINT (121.7865517 31.0418228)",1,4
"POINT (121.7356991 30.9188104)",1,5
"POINT (121.6116562 30.9079851)",1,6
